word,pos
sadly,adverb
saltando,adverb
sanctimoniously,adverb
sartorially,adverb
scabrously,adverb
scatteringly,adverb
scoffingly,adverb
scribblingly,adverb
seasonally,adverb
secretively,adverb
sedulously,adverb
self-denyingly,adverb
sempre,adverb
sentimentally,adverb
seriously,adverb
sexily,adverb
shamelessly,adverb
shipshape,adverb
shriekingly,adverb
sickly,adverb
sigmoidally,adverb
simperingly,adverb
single-handedly,adverb
sinuously,adverb
skilfully,adverb
slack,adverb
slaughterously,adverb
slightingly,adverb
slower,adverb
small-mindedly,adverb
smoothly,adverb
snatchily,adverb
snootily,adverb
soaringly,adverb
soever,adverb
solo,adverb
sometimes,adverb
songfully,adverb
soporiferously,adverb
soullessly,adverb
southwards,adverb
spasmodically,adverb
speechlessly,adverb
spirally,adverb
spookily,adverb
springily,adverb
squintingly,adverb
stalagmitically,adverb
starrily,adverb
staunchly,adverb
stereophonically,adverb
still,adverb
stockily,adverb
stownlins,adverb
strange,adverb
stringently,adverb
stuffily,adverb
suably,adverb
subito,adverb
subsidiarily,adverb
successfully,adverb
suggestively,adverb
sunward,adverb
superfluously,adverb
supinely,adverb
sure,adverb
suspensively,adverb
swiftly,adverb
symbiotically,adverb
syne,adverb
tacitly,adverb
tandem,adverb
tarnal,adverb
tautologically,adverb
tectonically,adverb
temperamentally,adverb
tendentiously,adverb
tenuto,adverb
terrifically,adverb
thanklessly,adverb
theologically,adverb
thereby,adverb
thereto,adverb
thermostatically,adverb
third-class,adverb
thoughtlessly,adverb
throatily,adverb
thwartedly,adverb
timorously,adverb
to-and-fro,adverb
tonetically,adverb
topographically,adverb
tough,adverb
traitorously,adverb
transitionally,adverb
traverse,adverb
tribally,adverb
trimonthly,adverb
troubledly,adverb
trustworthily,adverb
turgently,adverb
twofold,adverb
ultimo,adverb
unamusingly,adverb
unassumingly,adverb
unbeknown,adverb
unboundedly,adverb
unchangingly,adverb
uncommon,adverb
unconscientiously,adverb
undauntedly,adverb
undermost,adverb
undespairingly,adverb
unendingly,adverb
unexclusively,adverb
unfeelingly,adverb
unfortunately,adverb
ungracefully,adverb
unhealthily,adverb
unidiomatically,adverb
unisexually,adverb
unlearnedly,adverb
unmercifully,adverb
unneedfully,adverb
unphilosophically,adverb
unpredictably,adverb
unproportionably,adverb
unrecognisably,adverb
unresponsively,adverb
unscholarly,adverb
unshakably,adverb
unspeakably,adverb
unsuspiciously,adverb
unthoughtfully,adverb
untunefully,adverb
unwaveringly,adverb
unyieldingly,adverb
uproariously,adverb
uptown,adverb
usually,adverb
vacuously,adverb
vapidly,adverb
vectorially,adverb
venomously,adverb
veridically,adverb
vestigially,adverb
vigilantly,adverb
virtuously,adverb
vivaciously,adverb
volante,adverb
vowelly,adverb
wamblingly,adverb
waur,adverb
wearifully,adverb
well,adverb
wham,adverb
whereabout,adverb
whereon,adverb
whimperingly,adverb
whole,adverb
widthwise,adverb
windward,adverb
withal,adverb
wofully,adverb
word-for-word,adverb
worthlessly,adverb
yare,adverb
yestereve,adverb
